City,Postal code,Latitude,Longitude,Monthly rent,Aconto,Square meters,Rooms,Floor,Property type,Furnished,Shareable,Pets allowed,Elevator,Senior frendly,Only for students,Balcony/Terrace,Parking,PostalCode_1000-1999,PostalCode_2000-2999,PostalCode_3000-3999,PostalCode_4000-4999,PostalCode_5000-5999,PostalCode_6000-6999,PostalCode_7000-7999,PostalCode_8000-8999,PostalCode_9000-9999
Odense,5000,55.404561,10.37256,5950.0,725.0,65.0,2.0,0.0,Lejlighed,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0,0,0,0
Skive,7800,56.56913,9.016078,2800.0,1170.0,56.0,2.0,1.0,Lejlighed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0
Aalborg,9000,57.03495,9.93351,7295.0,600.0,66.0,2.0,2.0,Lejlighed,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,1
Randers,8900,56.464816,10.02691,7996.0,1000.0,119.0,4.0,1.0,Lejlighed,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0
Esbjerg,6700,55.468434,8.455581,3995.0,380.0,37.0,1.0,0.0,Lejlighed,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,0
Aalborg,9000,57.050631,9.908709,2800.0,450.0,40.0,2.0,4.0,Lejlighed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1
København,2300,55.619014,12.567329,15200.0,1300.0,104.0,4.0,5.0,Lejlighed,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0,1,0,0,0,0,0,0,0
Tønder,6270,54.935466,8.853912,3740.0,800.0,59.0,2.0,1.0,Lejlighed,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0
Randers,8900,56.463845,10.036751,3770.0,600.0,62.0,2.0,0.0,Lejlighed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0
Aarhus,8230,56.155337,10.169838,6700.0,450.0,48.0,2.0,1.0,Lejlighed,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1,0
København,1552,55.672706,12.576185,21000.0,1000.0,125.0,4.0,2.0,Lejlighed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0
Aalborg,9000,57.024255,9.899865,3950.0,550.0,49.0,1.0,2.0,Lejlighed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,1
Frederikshavn,9900,57.44456,10.528567,3500.0,1150.0,67.0,2.0,1.0,Lejlighed,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,1
Silkeborg,8600,56.164517,9.542594,5750.0,850.0,66.0,2.0,1.0,Lejlighed,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0
København,2610,55.682761,12.455596,12950.0,800.0,86.0,3.0,0.0,Lejlighed,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,1,0,0,0,0,0,0,0
Randers,8900,56.462411,10.030951,4675.0,500.0,66.0,2.0,2.0,Lejlighed,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1,0
Aarhus,8000,56.140162,10.18426,7900.0,400.0,65.0,2.0,1.0,Lejlighed,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1,0
København,2900,55.722833,12.580202,34000.0,1650.0,151.0,4.0,4.0,Lejlighed,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,1,0,0,0,0,0,0,0
Silkeborg,8600,56.188745,9.510916,10000.0,0.0,135.0,5.0,0.0,Lejlighed,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0
København,2640,55.646045,12.200939,11900.0,1000.0,86.0,3.0,2.0,Lejlighed,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,1,0,0,0,0,0,0,0
Aarhus,8000,56.154546,10.18119,8800.0,600.0,64.0,2.0,1.0,Lejlighed,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,1,0
Horsens,8700,55.873854,9.80292,8400.0,250.0,81.0,3.0,3.0,Lejlighed,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,1,0
Nyborg,5800,55.311551,10.791463,8500.0,900.0,141.0,4.0,1.0,Lejlighed,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0
Aalborg,9000,57.053293,9.911053,7600.0,800.0,73.0,2.0,3.0,Lejlighed,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1
Aarhus,8000,56.157592,10.204799,9850.0,1450.0,74.0,3.0,3.0,Lejlighed,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0
Aarhus,8200,56.185543,10.18822,4995.0,350.0,30.0,1.0,1.0,Lejlighed,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0
Randers,8900,56.465728,10.031057,3988.0,600.0,62.0,2.0,0.0,Lejlighed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0
København,2610,55.68401,12.453681,14400.0,750.0,104.0,4.0,2.0,Lejlighed,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,1,0,0,0,0,0,0,0
Horsens,8700,55.870811,9.837631,5993.0,1132.0,82.0,2.0,2.0,Lejlighed,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0
København,2770,55.608979,12.598006,11000.0,1100.0,63.0,2.0,1.0,Lejlighed,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0,1,0,0,0,0,0,0,0
Juelsminde,7130,55.706622,9.980551,6000.0,1650.0,87.0,4.0,0.0,Lejlighed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1,0,0
Randers,8900,56.466322,10.023023,5312.0,900.0,85.0,3.0,1.0,Lejlighed,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1,0
Odense,5000,55.394362,10.380989,948356.0,750.0,112.0,4.0,1.0,Lejlighed,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0
Aalborg,9000,57.024716,9.94332,8250.0,550.0,101.0,3.0,13.0,Lejlighed,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,1
Frederiksværk,3300,55.969995,12.022272,8625.0,1300.0,69.0,2.0,2.0,Lejlighed,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,1,0,0,0,0,0,0
København,2000,55.681188,12.51862,7800.0,750.0,26.0,1.0,3.0,Lejlighed,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0
Vejle,7100,55.713657,9.525199,8409.0,550.0,99.0,4.0,3.0,Lejlighed,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,0,0,1,0,0
København,1150,55.679125,12.579776,16800.0,1700.0,88.0,3.0,3.0,Lejlighed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0
Agerskov,6534,55.130128,9.131663,5786.0,1501.0,85.0,3.0,1.0,Lejlighed,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0
Aalborg,9210,57.0229,9.943102,6203.0,564.0,77.0,2.0,9.0,Lejlighed,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1
