Type,Name,Longitude,Latitude
Schools,International School of Hellerup,12.56039643076923076923076923,55.72247783076923076923076923
Schools,SOSU H,12.55706806153846153846153846,55.66752840769230769230769231
Schools,Kildevældsskolen,12.56970922142857142857142857,55.71565806428571428571428571
Schools,Amager Fælled Skole,12.59465715555555555555555556,55.66215293333333333333333333
Schools,Gerbrandskolen,12.61644370714285714285714286,55.64769693571428571428571429
Schools,Oehlenschlægersgades Skole,12.55077083333333333333333333,55.6674667625
Schools,NEXT Uddannelse København,12.53465317272727272727272727,55.70342297272727272727272727
Schools,Maglegårdsskolen,12.56954251176470588235294118,55.74351412941176470588235294
Schools,Tårnbygårdsskolen,12.6052581,55.61905238333333333333333333
Schools,Copenhagen International School,12.59857552558139534883720930,55.71194296976744186046511628
Schools,Langhøjskolen,12.48917995714285714285714286,55.62074291428571428571428571
Schools,Carolineskolen,12.57656615714285714285714286,55.72237394285714285714285714
Schools,Dyssegårdsskolen,12.5393019,55.73275168333333333333333333
Schools,Kildegård Privatskole,12.541973325,55.73710380833333333333333333
Schools,Søborg Skole,12.51172225,55.73421244285714285714285714
Schools,Gentofte Skole,12.54734883333333333333333333,55.74290716
Schools,HF-Centret Efterslægten,12.51337313333333333333333333,55.70942441111111111111111111
Schools,Uddannelsescenter UiU,12.51320716923076923076923077,55.71138485384615384615384615
Schools,Gammel Hellerup Gymnasium,12.57229327777777777777777778,55.73065275555555555555555556
Schools,Munkegårdsskolen,12.52240133333333333333333333,55.7354222
Schools,Skovmoseskolen,12.44331283888888888888888889,55.67949054444444444444444444
Schools,Bordings Friskole,12.57662133076923076923076923,55.69417701538461538461538462
Schools,Københavns Erhvervsakademi,12.537158105,55.70379713
Schools,Rådmandsgade Skole,12.55031308571428571428571429,55.69906006190476190476190476
Schools,Grøndalsvængets Skole,12.52636788333333333333333333,55.69832608333333333333333333
Schools,Det Kongelige Vajsenhus,12.5665466,55.68410006
Schools,Ordrup Gymnasium,12.5757810,55.76000557692307692307692308
Schools,Skolen ved Bülowsvej,12.54605352380952380952380952,55.6821826
Schools,Kastanievej Efterskole,12.54298448571428571428571429,55.67814947857142857142857143
Schools,Tjørnegårdsskolen,12.5306697,55.75513628
Schools,Vesterbro Ny Skole,12.54039336842105263157894737,55.66571171052631578947368421
Schools,Pilegårdsskolen,12.59485832857142857142857143,55.62063877857142857142857143
Schools,Tagensbo Skole,12.53404756,55.70946015
Schools,Skolen ved Nordens Plads,12.50319827777777777777777778,55.67007085555555555555555556
Schools,Christianshavns Skole - filialen,12.59560666666666666666666667,55.67254701111111111111111111
Schools,Frederiksberg Friskole,12.51990253529411764705882353,55.6775696
Schools,Sølvgades Skole,12.58319900666666666666666667,55.68648532333333333333333333
Schools,Sankt Annæ Skole,12.60768705714285714285714286,55.65383188571428571428571429
Schools,Strandvejsskolen,12.579171575,55.7117768125
Schools,Skovshoved Skole,12.59434802105263157894736842,55.7614576
Schools,Brøndby Idrætsefterskole,12.41641396153846153846153846,55.65149704615384615384615385
Schools,Johannesskolen,12.50151745555555555555555556,55.67459871111111111111111111
Schools,Byens Skole,12.50594297142857142857142857,55.6582065
Schools,Husum Skole,12.47355286666666666666666667,55.70556205
Schools,Vibenshus Skole,12.57903997142857142857142857,55.70876697142857142857142857
Schools,Mørkhøj Skole,12.46856049428571428571428571,55.72367173714285714285714286
