Monthly rent,Aconto,Square meters,Rooms,Floor,Furnished,Shareable,Pets allowed,Elevator,Senior frendly,Only for students,Balcony/Terrace,Parking,PostalCode_1000-2999,PostalCode_2000-3999,PostalCode_3000-4999,PostalCode_4000-5999,PostalCode_5000-6999,PostalCode_6000-7999,PostalCode_7000-8999,PostalCode_8000-9999,PostalCode_9000-10999,Distance to Transport Station (km),Distance to Beach (km),Distance to School (km),Distance to Restaurant (km),Distance to Hospital (km),Distance to Mall (km)
7995.0,800.0,105.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0.3440791175412657,45.20462366064104,0.3564511815273343,0.113564775622092,0.2754546341840306,1.015758930280055
13400.0,850.0,95.0,3.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0,1,0,0,0,0,0,0,0,0.3994612053381469,10.080537250974752,1.1587100144122542,0.831843574174902,1.6068034795091786,0.5561425765594757
8695.0,800.0,60.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,1,0,0.7628097523423994,11.88241591548281,0.141506133654452,2.0547550066883264,0.8986353314162276,0.7816442807908187
5000.0,600.0,60.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,0,5.258331678988061,9.596249940357229,2.6879593632689005,5.484238826181086,6.643500201775137,5.254714901550448
5995.0,1250.0,92.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0.3503593784507574,34.117859650824364,0.2185068480294216,0.2295980482319398,0.5848592324702435,0.349717159802402
5750.0,660.0,68.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0.4418408027564398,1.253027499092754,0.6118851938021954,0.1983156804913173,0.4704137028979691,0.3189822319134554
13750.0,1100.0,73.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0,1,0,0,0,0,0,0,0,0.4442594918811521,1.8149906795200188,0.0797096373685899,0.0681922370775162,0.9766496188087176,1.1560305441397365
4850.0,450.0,55.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0.1527805807192297,44.30825288634762,0.1335635490391654,0.1942003930516402,0.7746687511434492,0.0932878125097683
4500.0,600.0,49.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0.185497312438908,44.51461391161076,0.4720110525369316,0.190882175600538,0.520966591571353,0.3240025670139425
6600.0,550.0,88.0,2.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0.5916330226134863,44.85102581045185,0.5690191680651578,0.153547112421753,0.5980082670064168,0.255178777653785
5950.0,725.0,65.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0,0,0,0,0.9178582360707062,12.75325167917132,0.7368037053307429,0.5933969777180838,2.221416694403404,0.9939422857575384
2800.0,1170.0,56.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,1.064172406183695,18.46039215137389,0.484514436780973,0.6577475266620845,0.8768007198718579,1.0685625952567777
7295.0,600.0,66.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,1,1.3523233616550794,43.56471819889655,0.4060187168509703,0.5431344902463301,1.977330663290216,1.4569358021791716
