Latitude,Longitude
56.358441,8.617185
55.397438,10.389588
55.397021,10.389813
55.392506,10.403308
55.606273,12.335378
55.472565,8.436957
56.135708,8.97578
55.858419,9.847626
55.395349,10.384722
57.043746,9.921462
55.657655,12.567046
56.568128,9.029323
57.445885,10.538416
57.040496,9.920471
57.010658,9.966761
55.764986,9.69226
56.483003,8.779778
55.488063,9.479551
56.44274,9.40293
57.045071,9.911558
56.569342,9.023123
57.040666,9.923476
55.617985,12.567404
56.169551,10.191855
55.717773,12.438744
55.722534,12.580478
55.721489,12.581606
55.097009,10.244289
56.203673,10.232205
56.155819,10.20671
57.031857,10.000098
57.042608,9.922205
56.457278,10.038747
55.716098,9.535435
55.657757,12.567123
55.844998,9.237478
55.863431,9.843767
57.042736,9.919777
56.184855,9.596423
56.474661,10.019578
55.764986,9.69226
56.18583,10.186621
55.618011,12.378432
55.658324,12.393647
55.635856,12.576672
55.671263,12.584315
56.150134,10.167194
56.142505,8.977929
55.408504,11.339473
55.854549,9.839392
55.316722,11.967307
55.061256,10.605286
57.044382,9.943603
55.681188,12.51862
55.408214,10.384593
54.941415,8.861134
55.657727,12.567717
55.257,12.120867
57.014688,9.957825
57.448409,10.530899
56.134504,8.96239
56.484351,10.031653
56.184828,10.124834
56.155188,10.210452
56.694036,9.496052
57.353009,9.940614
55.718162,12.437785
55.574554,9.761329
57.067519,9.929072
57.041737,9.940983
55.651287,12.511496
57.052078,9.910555
56.451864,9.416091
56.722126,10.105228
55.402839,10.39134
55.72169,12.402206
56.460514,10.035411
56.182301,10.192749
55.664039,12.59013
55.192639,9.058355
54.935162,8.871129
55.393184,10.405555
55.617078,12.56642
56.441423,9.398093
55.397042,10.389853
57.423761,10.50915
55.643065,12.208273
56.161283,10.200975
56.174018,10.203954
55.601592,12.305782
57.045903,9.91683
55.407234,10.394893
55.39523,10.379714
55.488788,9.475294
56.369003,8.596577
55.637484,12.582101
55.678065,12.573554
57.469122,10.002541
57.053852,9.903269
55.661152,12.342956
56.286949,9.424832
55.122111,12.041803
56.172834,9.554814
57.053823,9.902154
56.462634,10.045077
57.048718,9.917547
56.136632,8.972593
55.873484,9.810778
55.638182,12.069353
56.220515,10.154972
57.06035,9.915864
55.658835,12.395253
55.944443,9.12597
56.550331,9.035373
55.656717,12.395842
57.456604,9.992948
55.471883,8.46902
57.050847,9.918328
55.389099,10.396637
55.451829,12.190326
55.640281,12.583101
57.040602,9.946272
55.830712,8.472358
55.357372,9.202241
57.051454,9.903981
55.872335,9.887504
57.038469,9.952409
55.391565,10.392551
55.663365,12.560334
54.935072,8.870754
55.971987,10.1467
55.645125,12.199934
55.393802,10.377409
57.055021,9.904438
56.451583,9.415007
56.452895,9.414983
55.61497,9.308814
55.668744,12.613703
56.161498,10.214387
56.446913,9.401221
56.356557,8.619733
56.369092,9.660964
56.202179,10.230289
55.400837,10.388388
56.166459,10.157237
56.053037,12.346677
55.401008,10.409998
55.645918,12.28015
56.028908,12.600728
55.398733,10.382197
55.49423,9.478574
55.678065,12.573554
55.638085,12.069345
55.729578,12.364897
55.392117,10.394608
55.621618,8.478292
55.657487,12.395957
55.729561,12.364369
55.664699,12.622501
55.40405,10.381076
55.393368,10.421374
56.570255,9.023242
57.335169,10.518519
56.162516,9.545076
55.707584,12.531084
55.394895,10.401398
55.393102,10.386397
55.657185,12.394943
56.636852,9.79282
55.484532,9.490638
57.059762,9.919264
55.063543,10.620474
56.716355,10.114715
55.764732,9.69268
55.711,9.54218
56.151736,10.11907
54.831705,11.132664
55.711466,12.479679
55.71139,9.534871
55.681188,12.51862
56.417562,10.867228
56.449041,9.399996
56.537747,10.039762
56.203275,9.018044
55.667692,12.516677
56.036511,12.601247
55.87483,9.802784
55.667118,12.577724
57.056774,9.942009
55.704874,9.538002
57.060532,9.917546
56.374852,9.657678
55.396434,10.389555
55.474266,8.478702
56.46287,10.027555
55.684,12.45649
55.929179,12.294497
55.403466,10.381807
55.458395,12.18542
55.472639,9.463879
55.406724,10.40436
56.141139,10.193367
55.311532,10.791708
57.020667,9.86909
55.470451,8.439562
55.397015,10.389817
55.637841,12.58114
55.87398,9.80295
57.010081,9.888139
57.271091,9.944184
55.375454,11.966028
55.657207,12.567935
55.657294,12.39526
56.70953,9.839889
55.764986,9.69226
56.564441,9.025371
55.42747,9.927256
55.46735,8.446419
57.049669,9.902482
55.72201,12.430429
57.042914,9.968078
55.251651,9.484789
55.672706,12.576185
55.716265,9.534457
55.978825,12.401505
56.155492,10.167593
57.053506,9.892248
55.403466,10.381807
56.451396,9.407988
56.147971,10.19887
57.055785,9.901204
55.398499,10.379359
55.450999,10.664073
55.86146,9.855696
56.183831,10.215201
55.657185,12.394943
56.202537,10.233152
56.557916,9.403947
55.645165,12.200624
56.204425,10.234625
57.043659,9.922822
57.048848,9.909066
57.050203,9.908062
56.447354,9.438505
55.634709,12.08419
56.452397,9.393399
55.060875,10.565753
55.666852,12.622964
55.657487,12.395957
56.185369,10.124822
56.455408,9.412773
56.185345,10.127989
56.413903,10.88403
56.447504,10.040719
56.123831,10.167781
55.759372,12.449211
55.849305,9.483041
56.202715,10.23529
55.62677,12.484725
55.886917,9.844807
55.059452,10.611462
56.289834,9.430673
56.357829,8.60888
56.464534,10.027405
57.041099,9.94131
55.859086,9.865286
57.059994,9.913538
54.936517,8.868799
56.166501,10.160906
57.041076,9.92441
56.19821,10.198932
